,gameId,date,time,hId,hScore,vId,vScore
248,0022100183,20211112,10:00 PM ET,1610612744,119,1610612741,93
249,0022100184,20211112,10:30 PM ET,1610612747,83,1610612750,107
250,0022100185,20211113,5:00 PM ET,1610612762,105,1610612748,111
251,0022100186,20211113,7:00 PM ET,1610612754,118,1610612755,113
252,0022100187,20211113,7:00 PM ET,1610612753,92,1610612764,104
253,0022100188,20211113,7:00 PM ET,1610612740,112,1610612763,101
254,0022100189,20211113,7:30 PM ET,1610612761,121,1610612765,127
255,0022100190,20211113,8:00 PM ET,1610612739,91,1610612738,89
256,0022100191,20211113,10:30 PM ET,1610612746,129,1610612750,102
257,0022100192,20211114,3:30 PM ET,1610612747,114,1610612759,106
258,0022100193,20211114,6:00 PM ET,1610612737,120,1610612749,100
259,0022100194,20211114,7:00 PM ET,1610612766,106,1610612744,102
260,0022100195,20211114,7:00 PM ET,1610612745,89,1610612756,115
261,0022100196,20211114,7:00 PM ET,1610612760,96,1610612751,120
262,0022100197,20211114,8:00 PM ET,1610612743,124,1610612757,95
263,0022100198,20211114,9:30 PM ET,1610612746,90,1610612741,100
264,0022100199,20211115,7:00 PM ET,1610612739,92,1610612738,98
265,0022100200,20211115,7:00 PM ET,1610612765,107,1610612758,129
266,0022100201,20211115,7:00 PM ET,1610612764,105,1610612740,100
267,0022100202,20211115,7:30 PM ET,1610612737,129,1610612753,111
268,0022100203,20211115,7:30 PM ET,1610612752,92,1610612754,84
269,0022100204,20211115,8:00 PM ET,1610612742,111,1610612743,101
270,0022100205,20211115,8:00 PM ET,1610612763,136,1610612745,102
271,0022100206,20211115,8:00 PM ET,1610612750,96,1610612756,99
272,0022100207,20211115,8:00 PM ET,1610612760,90,1610612748,103
273,0022100208,20211115,10:00 PM ET,1610612757,118,1610612761,113
274,0022100209,20211115,10:30 PM ET,1610612747,103,1610612741,121
275,0022100210,20211116,7:30 PM ET,1610612751,99,1610612744,117
276,0022100211,20211116,10:00 PM ET,1610612762,120,1610612755,85
277,0022100212,20211116,10:30 PM ET,1610612746,106,1610612759,92
278,0022100213,20211117,7:00 PM ET,1610612766,97,1610612764,87
279,0022100214,20211117,7:00 PM ET,1610612765,97,1610612754,89
280,0022100215,20211117,7:30 PM ET,1610612737,110,1610612738,99
281,0022100216,20211117,7:30 PM ET,1610612751,109,1610612739,99
282,0022100217,20211117,7:30 PM ET,1610612748,113,1610612740,98
283,0022100218,20211117,7:30 PM ET,1610612752,98,1610612753,104
284,0022100219,20211117,7:30 PM ET,1610612749,109,1610612747,102
285,0022100220,20211117,8:00 PM ET,1610612750,107,1610612758,97
286,0022100221,20211117,8:00 PM ET,1610612760,101,1610612745,89
287,0022100222,20211117,10:00 PM ET,1610612756,105,1610612742,98
288,0022100223,20211117,10:00 PM ET,1610612757,112,1610612741,107
289,0022100224,20211118,7:30 PM ET,1610612739,89,1610612744,104
290,0022100225,20211118,7:30 PM ET,1610612748,112,1610612764,97
291,0022100226,20211118,8:00 PM ET,1610612763,120,1610612746,108
292,0022100227,20211118,8:00 PM ET,1610612750,115,1610612759,90
293,0022100228,20211118,9:00 PM ET,1610612743,89,1610612755,103
294,0022100229,20211118,9:00 PM ET,1610612762,119,1610612761,103
295,0022100230,20211119,7:00 PM ET,1610612766,121,1610612754,118
296,0022100231,20211119,7:00 PM ET,1610612765,102,1610612744,105
297,0022100232,20211119,7:30 PM ET,1610612738,130,1610612747,108
298,0022100233,20211119,7:30 PM ET,1610612751,115,1610612753,113
299,0022100234,20211119,8:00 PM ET,1610612749,96,1610612760,89
300,0022100235,20211119,8:00 PM ET,1610612740,94,1610612746,81
301,0022100236,20211119,9:00 PM ET,1610612743,108,1610612741,114
302,0022100237,20211119,10:00 PM ET,1610612756,112,1610612742,104
303,0022100238,20211119,10:00 PM ET,1610612758,89,1610612761,108
304,0022100239,20211120,5:00 PM ET,1610612752,106,1610612745,99
305,0022100240,20211120,7:00 PM ET,1610612754,111,1610612740,94
306,0022100241,20211120,7:00 PM ET,1610612764,103,1610612748,100
307,0022100242,20211120,7:30 PM ET,1610612737,115,1610612766,105
308,0022100243,20211120,7:30 PM ET,1610612738,111,1610612760,105
309,0022100244,20211120,8:00 PM ET,1610612749,117,1610612753,108
310,0022100245,20211120,8:00 PM ET,1610612750,138,1610612763,95
311,0022100246,20211120,10:00 PM ET,1610612757,118,1610612755,111
312,0022100247,20211120,10:00 PM ET,1610612758,105,1610612762,123
313,0022100248,20211121,3:30 PM ET,1610612746,97,1610612742,91
314,0022100249,20211121,6:00 PM ET,1610612765,116,1610612747,121
315,0022100250,20211121,8:00 PM ET,1610612741,109,1610612752,103
316,0022100251,20211121,8:00 PM ET,1610612756,126,1610612743,97
317,0022100252,20211121,8:30 PM ET,1610612744,119,1610612761,104
318,0022100253,20211122,7:00 PM ET,1610612739,112,1610612751,117
319,0022100254,20211122,7:00 PM ET,1610612764,103,1610612766,109
320,0022100255,20211122,7:30 PM ET,1610612737,113,1610612760,101
321,0022100256,20211122,7:30 PM ET,1610612738,108,1610612745,90
322,0022100257,20211122,8:00 PM ET,1610612741,77,1610612754,109
323,0022100258,20211122,8:00 PM ET,1610612749,123,1610612753,92
324,0022100259,20211122,8:00 PM ET,1610612740,96,1610612750,110
325,0022100260,20211122,8:30 PM ET,1610612759,111,1610612756,115
326,0022100261,20211122,9:00 PM ET,1610612762,118,1610612763,119
327,0022100262,20211122,10:00 PM ET,1610612758,94,1610612755,102
328,0022100263,20211123,7:00 PM ET,1610612765,92,1610612748,100
329,0022100264,20211123,7:30 PM ET,1610612752,106,1610612747,100
330,0022100265,20211123,10:00 PM ET,1610612757,119,1610612743,100
331,0022100266,20211123,10:30 PM ET,1610612746,104,1610612742,112
332,0022100267,20211124,7:00 PM ET,1610612739,115,1610612756,120
333,0022100268,20211124,7:00 PM ET,1610612754,116,1610612747,124
334,0022100269,20211124,7:00 PM ET,1610612753,99,1610612766,106
335,0022100270,20211124,7:30 PM ET,1610612738,104,1610612751,123
336,0022100271,20211124,8:00 PM ET,1610612745,118,1610612741,113
337,0022100272,20211124,8:00 PM ET,1610612763,113,1610612761,126
338,0022100273,20211124,8:00 PM ET,1610612749,114,1610612765,93
339,0022100274,20211124,8:00 PM ET,1610612750,113,1610612748,101
340,0022100275,20211124,8:00 PM ET,1610612740,127,1610612764,102
341,0022100276,20211124,8:00 PM ET,1610612760,104,1610612762,110
342,0022100277,20211124,8:30 PM ET,1610612759,106,1610612737,124
343,0022100278,20211124,10:00 PM ET,1610612744,116,1610612755,96
344,0022100279,20211124,10:00 PM ET,1610612758,125,1610612757,121
345,0022100280,20211126,3:30 PM ET,1610612746,107,1610612765,96
346,0022100281,20211126,7:00 PM ET,1610612766,133,1610612750,115
347,0022100282,20211126,7:00 PM ET,1610612752,97,1610612756,118
348,0022100283,20211126,7:00 PM ET,1610612753,88,1610612741,123
349,0022100284,20211126,8:00 PM ET,1610612754,114,1610612761,97
350,0022100285,20211126,8:00 PM ET,1610612763,100,1610612737,132
351,0022100286,20211126,8:00 PM ET,1610612760,99,1610612764,101
352,0022100287,20211126,8:30 PM ET,1610612759,96,1610612738,88
353,0022100288,20211126,9:00 PM ET,1610612743,109,1610612749,120
354,0022100289,20211126,9:00 PM ET,1610612762,97,1610612740,98
355,0022100290,20211126,10:00 PM ET,1610612744,118,1610612757,103
356,0022100291,20211126,10:30 PM ET,1610612747,137,1610612758,141
357,0022100292,20211127,6:00 PM ET,1610612755,120,1610612750,121
358,0022100293,20211127,7:30 PM ET,1610612737,90,1610612752,99
359,0022100294,20211127,7:30 PM ET,1610612751,107,1610612756,113
360,0022100295,20211127,8:00 PM ET,1610612739,105,1610612753,92
361,0022100296,20211127,8:00 PM ET,1610612741,104,1610612748,107
362,0022100297,20211127,8:00 PM ET,1610612745,146,1610612766,143
363,0022100298,20211127,8:30 PM ET,1610612742,114,1610612764,120
364,0022100299,20211127,9:00 PM ET,1610612762,127,1610612740,105
365,0022100300,20211128,3:30 PM ET,1610612746,90,1610612744,105
366,0022100301,20211128,5:00 PM ET,1610612754,100,1610612749,118
367,0022100302,20211128,6:00 PM ET,1610612761,97,1610612738,109
368,0022100303,20211128,6:00 PM ET,1610612763,128,1610612758,101
369,0022100304,20211128,9:30 PM ET,1610612747,110,1610612765,106
370,0022100305,20211129,7:00 PM ET,1610612755,101,1610612753,96
371,0022100306,20211129,7:30 PM ET,1610612748,111,1610612743,120
372,0022100307,20211129,8:00 PM ET,1610612741,133,1610612766,119
373,0022100308,20211129,8:00 PM ET,1610612745,102,1610612760,89
374,0022100309,20211129,8:00 PM ET,1610612750,100,1610612754,98
375,0022100310,20211129,8:30 PM ET,1610612742,96,1610612739,114
376,0022100311,20211129,8:30 PM ET,1610612759,116,1610612764,99
377,0022100312,20211129,9:00 PM ET,1610612762,129,1610612757,107
378,0022100313,20211129,10:30 PM ET,1610612746,104,1610612740,123
379,0022100314,20211130,7:30 PM ET,1610612751,112,1610612752,110
380,0022100315,20211130,7:30 PM ET,1610612761,91,1610612763,98
381,0022100316,20211130,10:00 PM ET,1610612756,104,1610612744,96
382,0022100317,20211130,10:00 PM ET,1610612757,110,1610612765,92
383,0022100318,20211130,10:00 PM ET,1610612758,92,1610612747,117
384,0022100319,20211201,7:00 PM ET,1610612754,111,1610612737,114
